schoolid classid childid sex mathkind mathgain ses housepov yearstea
1 160 1 1 448 32 0.46 0.082 1
1 160 2 0 460 109 -0.27 0.082 1
1 160 3 1 511 56 -0.03 0.082 1
1 217 4 0 449 83 -0.38 0.082 2
1 217 5 0 425 53 -0.03 0.082 2
1 217 6 1 450 65 0.76 0.082 2
1 217 7 0 452 51 -0.03 0.082 2
1 217 8 0 443 66 0.2 0.082 2
1 217 9 1 422 88 0.64 0.082 2
1 217 10 0 480 -7 0.13 0.082 2
1 217 11 0 502 60 0.83 0.082 2
2 197 12 1 502 -2 0.06 0.082 1
2 197 13 0 430 101 0.3 0.082 1
2 211 14 0 526 30 -0.27 0.082 2
2 211 15 0 504 65 0.74 0.082 2
2 211 16 1 527 29 0.31 0.082 2
2 211 17 1 462 152 1.1 0.082 2
2 307 18 0 483 50 0.52 0.082 12.54
2 307 19 1 516 60 -1.15 0.082 12.54
2 307 20 0 476 74 0 0.082 12.54
2 307 21 0 453 91 0.39 0.082 12.54
3 11 22 0 494 68 -0.06 0.086 20
3 11 23 0 416 94 -0.26 0.086 20
3 11 24 0 456 120 0.64 0.086 20
3 11 25 1 445 58 -0.37 0.086 20
3 137 26 0 446 123 0.54 0.086 5
3 137 27 1 479 88 2.21 0.086 5
3 145 28 0 474 60 -0.43 0.086 19
3 145 29 0 453 152 0.41 0.086 19
3 145 30 0 494 96 0.06 0.086 19
3 145 31 1 529 57 -0.09 0.086 19
3 145 32 0 461 115 1.58 0.086 19
3 228 33 0 482 58 0.12 0.086 8
3 228 34 0 475 51 -0.35 0.086 8
3 228 35 0 464 104 0.9 0.086 8
4 48 36 1 496 65 -1.03 0.365 27
4 48 37 1 443 64 -0.8 0.365 27
4 48 38 0 455 59 1.04 0.365 27
4 48 39 0 447 70 -0.3 0.365 27
4 179 40 1 501 63 0.9 0.365 12
4 179 41 0 434 -110 -0.37 0.365 12
5 299 42 1 462 73 -0.03 0.511 3
5 299 43 0 444 100 -0.03 0.511 3
5 299 44 1 472 -9 -1.39 0.511 3
5 299 45 1 450 67 -1.25 0.511 3
5 299 46 0 463 58 -0.28 0.511 3
5 299 47 1 381 72 0.41 0.511 3
6 254 48 1 447 88 0.01 0.044 1
6 254 49 0 504 115 -0.31 0.044 1
6 286 50 0 483 62 -1.43 0.044 24
6 286 51 1 459 42 -0.73 0.044 24
6 286 52 0 472 88 1.31 0.044 24
6 286 53 1 475 71 0.09 0.044 24
6 286 54 0 468 74 0.35 0.044 24
6 286 55 0 467 67 -0.02 0.044 24
6 291 56 1 418 74 0.79 0.044 19
6 291 57 1 415 87 -0.69 0.044 19
6 291 58 0 444 83 -0.44 0.044 19
6 291 59 0 433 93 0.29 0.044 19
7 89 60 0 427 56 -1.3 0.148 13
7 89 61 1 428 40 -0.32 0.148 13
7 89 62 1 429 69 0.57 0.148 13
7 107 63 1 497 75 -0.03 0.148 7
7 107 64 1 422 57 0.94 0.148 7
7 107 65 1 487 23 -1.02 0.148 7
7 107 66 0 435 53 -0.88 0.148 7
7 162 67 1 411 114 -0.78 0.148 8
7 162 68 1 396 56 -0.98 0.148 8
7 280 69 0 462 55 1.41 0.148 13
7 280 70 1 463 28 -0.35 0.148 13
7 280 71 0 444 61 -1.15 0.148 13
7 280 72 1 451 59 -0.46 0.148 13
7 280 73 1 437 57 -0.21 0.148 13
8 147 74 0 484 85 0.62 0.085 6
8 147 75 0 488 28 0.18 0.085 6
8 147 76 1 475 166 -0.14 0.085 6
8 147 77 0 544 61 1.11 0.085 6
8 147 78 1 467 47 -0.79 0.085 6
8 265 79 1 509 62 0.86 0.085 6
8 265 80 1 489 35 -0.11 0.085 6
8 265 81 1 448 52 0.15 0.085 6
8 265 82 0 516 70 0.28 0.085 6
8 279 83 0 489 11 -1.37 0.085 22
8 279 84 0 519 37 1.34 0.085 22
8 279 85 0 517 36 -0.16 0.085 22
8 279 86 1 552 13 0.69 0.085 22
8 279 87 0 475 6 0.2 0.085 22
8 279 88 1 535 21 0.39 0.085 22
8 279 89 1 472 26 1.34 0.085 22
9 17 90 1 497 22 -0.11 0.537 23
9 17 91 0 542 26 -0.03 0.537 23
9 17 92 0 422 74 1 0.537 23
9 58 93 1 482 41 -0.03 0.537 23
9 283 94 0 459 13 0 0.537 24
9 283 95 1 450 33 -1.45 0.537 24
10 178 96 0 376 102 -0.3 0.346 15
10 178 97 1 460 72 -0.38 0.346 15
10 208 98 1 473 44 -0.82 0.346 21
10 208 99 0 428 78 -0.97 0.346 21
10 208 100 0 437 48 -0.94 0.346 21
10 208 101 0 436 90 -1.27 0.346 21
10 278 102 1 449 78 -1.09 0.346 1
10 278 103 0 477 107 0.19 0.346 1
10 278 104 1 477 67 -0.1 0.346 1
10 278 105 1 410 75 -0.21 0.346 1
10 278 106 0 439 69 0.15 0.346 1
10 278 107 0 463 51 1.7 0.346 1
10 278 108 1 456 70 -0.58 0.346 1
10 278 109 0 433 103 -1 0.346 1
10 303 110 0 433 90 -0.45 0.346 24
10 303 111 0 427 85 -0.37 0.346 24
10 303 112 1 444 55 -1.21 0.346 24
10 303 113 1 426 65 -1.45 0.346 24
11 86 114 1 526 44 0.83 0.101 6
11 86 115 0 494 66 1.42 0.101 6
11 86 116 0 494 58 2.15 0.101 6
11 86 117 1 479 90 0.56 0.101 6
11 86 118 1 538 35 -0.66 0.101 6
11 113 119 1 484 84 0.9 0.101 4
11 113 120 0 576 8 -0.07 0.101 4
11 113 121 1 485 58 0.4 0.101 4
11 131 122 0 535 22 1.31 0.101 24
11 131 123 1 467 77 -0.27 0.101 24
11 172 124 0 505 25 -0.01 0.101 3
11 172 125 1 480 22 0.27 0.101 3
11 172 126 1 629 -35 0.07 0.101 3
11 172 127 1 488 38 0.94 0.101 3
11 195 128 1 509 28 0.63 0.101 3
11 195 129 1 493 77 0.41 0.101 3
11 195 130 0 470 69 -0.32 0.101 3
11 195 131 0 529 62 2.06 0.101 3
11 201 132 1 468 38 -0.02 0.101 1
11 201 133 1 514 18 0.03 0.101 1
11 201 134 1 465 67 0.21 0.101 1
11 201 135 1 511 20 1.06 0.101 1
11 201 136 0 461 42 -1.17 0.101 1
11 233 137 0 496 54 0.71 0.101 27
11 285 138 1 499 111 0.61 0.101 2
11 285 139 1 454 68 -0.34 0.101 2
11 285 140 1 527 38 0.1 0.101 2
11 293 141 1 516 51 0.8 0.101 4
11 293 142 0 434 94 -0.77 0.101 4
11 293 143 1 499 39 1.32 0.101 4
11 293 144 0 469 96 0.03 0.101 4
12 20 145 0 424 36 -0.03 0.106 6
12 20 146 0 485 58 -0.03 0.106 6
12 20 147 1 463 53 0.59 0.106 6
12 49 148 0 427 63 0.45 0.106 5
12 49 149 0 401 74 -0.22 0.106 5
12 49 150 1 486 23 0.61 0.106 5
12 49 151 1 522 12 -0.03 0.106 5
12 49 152 0 450 53 -0.03 0.106 5
12 49 153 0 408 104 -0.03 0.106 5
12 81 154 0 493 27 1.12 0.106 2
12 81 155 1 417 46 -0.03 0.106 2
12 81 156 0 428 95 -0.03 0.106 2
12 81 157 1 453 50 -0.6 0.106 2
12 81 158 1 435 84 -0.03 0.106 2
12 81 159 1 450 40 -0.6 0.106 2
12 81 160 1 464 59 -0.03 0.106 2
12 81 161 1 433 91 -0.42 0.106 2
12 251 162 0 429 111 0.73 0.106 16
12 251 163 1 497 41 0.88 0.106 16
12 251 164 0 430 18 0.26 0.106 16
12 302 165 1 535 28 0.07 0.106 25
12 302 166 0 535 5 0.18 0.106 25
12 302 167 1 508 67 1.64 0.106 25
12 302 168 0 459 59 -0.03 0.106 25
12 302 169 0 474 45 0.73 0.106 25
12 302 170 0 491 47 -0.03 0.106 25
12 302 171 1 491 26 1.32 0.106 25
13 64 172 0 433 52 0.86 0.055 20
13 64 173 1 462 32 0.58 0.055 20
13 64 174 1 462 44 -0.76 0.055 20
13 64 175 1 506 41 -0.24 0.055 20
13 64 176 0 477 98 0.01 0.055 20
13 166 177 1 466 59 0.29 0.055 1
13 166 178 0 529 -11 0.08 0.055 1
13 166 179 1 499 35 -0.19 0.055 1
13 166 180 0 481 79 0.31 0.055 1
14 41 181 0 470 26 -0.37 0.157 17
14 41 182 0 519 -11 -0.14 0.157 17
14 41 183 1 441 23 0.05 0.157 17
14 41 184 0 436 88 0.29 0.157 17
14 41 185 1 431 52 -1.12 0.157 17
14 141 186 0 515 13 0.24 0.157 24
14 141 187 0 467 32 -0.42 0.157 24
14 141 188 1 455 19 -0.3 0.157 24
14 141 189 1 415 62 -0.2 0.157 24
14 141 190 0 477 69 0.09 0.157 24
14 167 191 0 490 71 0.01 0.157 22
14 167 192 0 521 25 0.06 0.157 22
14 167 193 0 437 90 0.03 0.157 22
14 167 194 0 526 41 -0.39 0.157 22
14 167 195 1 434 65 0.34 0.157 22
15 5 196 0 342 182 -0.24 0.121 14
15 85 197 1 404 79 0.73 0.121 24
15 85 198 1 457 36 0.07 0.121 24
15 85 199 1 457 47 -0.37 0.121 24
15 85 200 1 397 103 -0.35 0.121 24
15 85 201 0 422 91 -0.29 0.121 24
15 85 202 0 424 113 -0.91 0.121 24
15 85 203 0 439 98 0.23 0.121 24
15 92 204 1 449 94 -0.48 0.121 30
15 119 205 0 506 39 0.97 0.121 12
15 260 206 0 533 33 -0.97 0.121 5
15 260 207 1 446 38 -1.01 0.121 5
15 260 208 0 521 22 -0.76 0.121 5
16 206 209 0 412 118 1.46 0.113 12
16 206 210 1 474 83 0.68 0.113 12
16 206 211 1 447 78 0.05 0.113 12
16 206 212 0 441 74 -1.52 0.113 12
16 206 213 1 411 90 -0.02 0.113 12
16 256 214 1 390 108 -0.44 0.113 12
17 7 215 0 429 51 -1.03 0.261 21
17 10 216 1 381 143 -0.49 0.261 5
17 10 217 0 419 69 -1.35 0.261 5
17 87 218 0 441 54 -0.49 0.261 19
17 177 219 0 379 129 -0.51 0.261 21
17 177 220 1 434 65 1.04 0.261 21
17 177 221 0 416 57 -0.72 0.261 21
17 216 222 0 403 49 -0.69 0.261 8
17 216 223 0 457 62 -0.93 0.261 8
18 31 224 0 419 71 -0.61 0.272 23
18 31 225 1 409 75 0.57 0.272 23
18 31 226 0 290 164 -0.14 0.272 23
18 31 227 1 440 49 -0.03 0.272 23
19 98 228 0 431 80 -0.18 0.058 1
19 98 229 0 437 37 -0.85 0.058 1
19 98 230 0 477 45 -0.13 0.058 1
19 98 231 0 416 56 1.56 0.058 1
19 98 232 1 455 50 -0.16 0.058 1
19 110 233 1 470 24 -0.36 0.058 30
19 110 234 0 456 101 -0.15 0.058 30
19 110 235 1 422 31 -0.61 0.058 30
19 110 236 1 484 51 1.22 0.058 30
19 170 237 1 463 57 0.29 0.058 2
19 170 238 1 398 79 -0.66 0.058 2
20 30 239 1 445 72 -0.8 0.532 19
20 30 240 1 484 29 -0.58 0.532 19
20 30 241 1 393 47 -0.51 0.532 19
20 30 242 1 447 68 -1.01 0.532 19
20 94 243 0 429 67 -0.47 0.532 5
20 94 244 0 453 41 -0.64 0.532 5
20 94 245 1 508 63 -0.24 0.532 5
20 94 246 1 462 97 0.61 0.532 5
20 94 247 0 435 67 -0.63 0.532 5
20 94 248 0 485 43 -0.4 0.532 5
20 101 249 0 484 68 -0.98 0.532 6
20 101 250 1 417 79 -1.16 0.532 6
21 6 251 0 431 36 -0.32 0.187 8
21 6 252 0 454 23 -0.03 0.187 8
21 6 253 0 452 34 0.28 0.187 8
21 6 254 1 448 44 0.31 0.187 8
21 6 255 1 405 60 0.33 0.187 8
21 130 256 0 460 86 0.2 0.187 14
21 130 257 0 435 24 -0.44 0.187 14
21 130 258 0 461 73 0.68 0.187 14
21 130 259 0 434 75 0.1 0.187 14
21 158 260 0 494 46 0.25 0.187 12
21 158 261 0 443 87 0.51 0.187 12
21 158 262 0 524 49 0.08 0.187 12
21 158 263 0 437 67 0.53 0.187 12
21 158 264 0 392 91 -0.8 0.187 12
21 158 265 0 457 28 -0.16 0.187 12
21 158 266 1 431 102 -1.1 0.187 12
21 158 267 1 494 39 0.37 0.187 12
22 159 268 0 433 46 -1.44 0.438 0
22 159 269 1 449 48 0.47 0.438 0
22 159 270 1 447 39 0.31 0.438 0
22 159 271 1 462 25 -0.3 0.438 0
23 43 272 0 459 82 -0.89 0.282 14
23 43 273 1 495 34 0.59 0.282 14
23 43 274 0 483 43 -0.78 0.282 14
23 47 275 1 462 117 -0.81 0.282 3
23 163 276 0 447 74 -0.75 0.282 21
24 55 277 1 497 30 -0.33 0.263 27
24 55 278 1 494 -2 0.19 0.263 27
24 55 279 1 427 65 0.68 0.263 27
24 55 280 1 447 30 -0.17 0.263 27
24 55 281 1 477 0 -0.87 0.263 27
24 77 282 0 539 -16 1.57 0.263 31
24 93 283 1 431 106 -0.34 0.263 5
24 150 284 1 496 88 0.21 0.263 9
25 97 285 1 443 38 -0.03 0.309 15
25 97 286 1 469 27 0.03 0.309 15
25 297 287 1 374 59 -0.4 0.309 6
25 297 288 1 513 -6 -0.76 0.309 6
25 297 289 1 450 34 -0.03 0.309 6
25 297 290 0 447 7 0.53 0.309 6
25 297 291 0 450 39 -0.64 0.309 6
26 78 292 0 439 97 0.67 0.564 4
26 78 293 0 480 56 -0.03 0.564 4
26 78 294 1 497 56 -1.37 0.564 4
26 78 295 1 482 43 -0.25 0.564 4
26 78 296 0 409 71 0.35 0.564 4
26 78 297 1 466 42 -0.53 0.564 4
26 78 298 0 439 88 -0.32 0.564 4
26 78 299 0 430 86 1.04 0.564 4
26 102 300 1 470 41 0.4 0.564 13
26 102 301 0 476 43 -0.03 0.564 13
26 102 302 0 481 78 -1.35 0.564 13
26 139 303 0 443 65 -0.03 0.564 0
26 139 304 1 415 -2 -0.03 0.564 0
26 139 305 1 503 41 0.54 0.564 0
26 139 306 0 468 64 0.21 0.564 0
