MOTHC	SEX	DORS
2	1	37
2	1	39
2	1	35
2	2	35
3	1	35
4	1	37
4	2	35
5	2	35
5	2	35
5	2	37
6	1	34
6	1	35
6	1	36
6	2	36
6	2	35
6	2	36
7	2	38
7	2	37
8	1	36
8	2	35
9	1	37
9	2	33
10	1	37
10	1	39
10	2	36
10	2	35
11	2	34
12	1	38
12	1	42
12	2	36
12	2	37
12	2	34
13	1	36
14	1	35
14	1	37
14	2	34
15	1	30
15	1	32
15	2	32
15	2	33
15	2	30
16	1	36
16	1	32
17	1	35
17	1	35
17	2	35
17	2	36
18	1	36
18	2	32
18	2	34
18	2	36
18	2	34
19	1	33
19	1	31
19	1	30
19	1	34
19	2	32
20	1	35
20	1	36
20	2	35
20	2	34
20	2	33
21	1	34
21	1	34
21	1	36
21	2	37
21	2	34
22	1	37
22	1	38
22	1	37
22	1	35
22	2	37
22	2	37
23	1	36
23	2	33
23	2	33
23	2	34
23	2	35
24	1	34
24	1	33
24	2	33
24	2	32
25	1	36
25	1	35
25	2	37
25	2	37
25	2	36
25	2	40
26	1	36
26	2	35
26	2	33
26	2	31
27	2	34
28	1	36
28	2	36
28	2	32
29	1	34
29	1	36
29	1	36
29	2	35
30	1	36
30	2	35
